year,neighbourhood,average_house_value
2016,Glenfield-Jane Heights,455970
2016,Greenwood-Coxwell,538727
2016,Guildwood,514116
2016,Henry Farm,514929
2016,High Park North,741161
2016,High Park-Swansea,811423
2016,Highland Creek,596883
2016,Hillcrest Village,549816
2016,Humber Heights-Westmount,625154
2016,Humber Summit,490049
2016,Humbermede,445094
2016,Humewood-Cedarvale,970245
2016,Ionview,400418
2016,Islington-City Centre West,628682
2016,Junction Area,603050
2016,Keelesdale-Eglinton West,449257
2016,Kennedy Park,399789
2016,Kensington-Chinatown,613094
2016,Kingsview Village-The Westway,470928
2016,Kingsway South,1173663
2016,L'Amoreaux,905137
2016,Lambton Baby Point,468524
2016,Lansing-Westgate,853511
2016,Lawrence Park North,1056967
2016,Lawrence Park South,1522732
2016,Leaside-Bennington,1122495
2016,Little Portugal,751872
2016,Long Branch,537021
2016,Malvern,357541
2016,Maple Leaf,630831
2016,Markland Wood,617950
2016,Milliken,480175
2016,Mimico,547683
2016,Morningside,396699
2016,Moss Park,569905
2016,Mount Dennis,365097
2016,Mount Olive-Silverstone-Jamestown,352394
2016,Mount Pleasant East,942804
2016,Mount Pleasant West,651643
2016,New Toronto,567617
2016,Newtonbrook East,778847
2016,Newtonbrook West,641047
2016,Niagara,514978
2016,North Riverdale,978565
2016,North St.James Town,572689
2016,O'Connor-Parkview,415214
2016,Oakridge,587723
2016,Oakwood Village,614092
2016,Old East York,617169
2016,Palmerston-Little Italy,866003
2016,Parkwoods-Donalda,632812
2016,Pelmo Park-Humberlea,564303
2016,Playter Estates-Danforth,903121
2016,Pleasant View,519686
2016,Princess-Rosethorn,1065811
2016,Regent Park,546413
2016,Rexdale-Kipling,502460
2016,Rockcliffe-Smythe,481110
2016,Roncesvalles,708369
2016,Rosedale-Moore Park,1522193
2016,Rouge,523738
2016,Runnymede-Bloor West Village,768420
2016,Rustic,600017
2016,Scarborough Village,459085
2016,South Parkdale,622827
2016,South Riverdale,633325
2016,St.Andrew-Windfields,1390616
2016,Steeles,523359
2016,Stonegate-Queensway,766124
2016,Tam O'Shanter-Sullivan,492616
2016,Taylor-Massey,333230
2016,The Beaches,927404
2016,Thistletown-Beaumond Heights,523150
2016,Thorncliffe Park,355293
2016,Trinity-Bellwoods,743901
2016,University,860610
2016,Victoria Village,490119
2016,Waterfront Communities-The Island,524540
2016,West Hill,396189
2016,West Humber-Clairville,477762
2016,Westminster-Branson,486204
2016,Weston,428703
2016,Weston-Pellam Park,489659
2016,Wexford/Maryvale,484811
2016,Willowdale East,652845
2016,Willowdale West,648794
2016,Willowridge-Martingrove-Richview,646210
2016,Woburn,415478
2016,Woodbine Corridor,619910
2016,Woodbine-Lumsden,514874
2016,Wychwood,787760
2016,Yonge-Eglinton,1127052
2016,Yonge-St.Clair,1131888
2016,York University Heights,425769
2016,Yorkdale-Glen Park,599698
